Provinsi,Jumlah,Jumlah Penduduk
Aceh,1060.0,5482500
Bali,168.0,4404300
Banten,1397.0,12307700
Bengkulu,286.0,2086000
D.I. Yogyakarta,99.0,3736500
D.K.I. Jakarta,815.0,10672100
Gorontalo,518.0,1213200
Jambi,664.0,3679200
Jawa Barat,5272.0,49860300
Jawa Tengah,2212.0,37541000
Jawa Timur,2654.0,41527900
Kalimantan Barat,1092.0,5623300
Kalimantan Selatan,534.0,4222300
Kalimantan Tengah,549.0,2773700
Kalimantan Timur,639.0,3909700
Kalimantan Utara,162.0,730000
Kep. Bangka Belitung,231.0,1511900
Kepulauan Riau,271.0,2152600
Lampung,849.0,9314000
Maluku,654.0,1920500
Maluku Utara,534.0,1337100
Nusa Tenggara Barat,1093.0,5560300
Nusa Tenggara Timur,2103.0,5569100
Papua,2842.0,4482740
Papua Barat,584.0,1187330
Riau,1051.0,6642900
Sulawesi Barat,402.0,1481100
Sulawesi Selatan,1811.0,9362300
Sulawesi Tengah,1013.0,3086800
Sulawesi Tenggara,730.0,2749000
Sulawesi Utara,469.0,2681500
Sumatera Barat,778.0,5757200
Sumatera Selatan,1887.0,8743500
Sumatera Utara,3767.0,15386600
,,278696170
